code,age,ageValue
E09000001,age16,36
E09000001,age17,37
E09000001,age18,60
E09000001,age19,52
E09000001,age20,113
E09000001,age21,131
E09000001,age22,193
E09000001,age23,307
E09000001,age24,221
E09000001,age25,245
E09000001,age26,262
E09000001,age27,240
E09000001,age28,227
E09000001,age29,239
E09000001,age30,243
E09000001,age31,201
E09000001,age32,211
E09000001,age33,186
E09000001,age34,159
E09000001,age35,174
E09000001,age36,152
E09000001,age37,129
E09000001,age38,134
E09000001,age39,135
E09000001,age40,113
E09000001,age41,108
E09000001,age42,103
E09000001,age43,117
E09000001,age44,106
E09000001,age45,108
E09000001,age46,96
E09000001,age47,107
E09000001,age48,100
E09000001,age49,133
E09000001,age50,123
E09000001,age51,138
E09000001,age52,142
E09000001,age53,141
E09000001,age54,96
E09000001,age55,113
E09000001,age56,98
E09000001,age57,111
E09000001,age58,98
E09000001,age59,98
E09000001,age60,103
E09000001,age61,95
E09000001,age62,84
E09000001,age63,100
E09000001,age64,77
E09000002,age16,3321
E09000002,age17,3061
E09000002,age18,2956
E09000002,age19,2472
E09000002,age20,2393
E09000002,age21,2405
E09000002,age22,2702
E09000002,age23,2846
E09000002,age24,2894
E09000002,age25,2919
E09000002,age26,3001
E09000002,age27,2969
E09000002,age28,3163
E09000002,age29,3164
E09000002,age30,3252
E09000002,age31,3550
E09000002,age32,3748
E09000002,age33,3768
E09000002,age34,3737
E09000002,age35,3772
E09000002,age36,3869
E09000002,age37,3667
E09000002,age38,3758
E09000002,age39,3572
E09000002,age40,3770
E09000002,age41,3487
E09000002,age42,3524
E09000002,age43,3141
E09000002,age44,3151
E09000002,age45,3101
E09000002,age46,3109
E09000002,age47,3031
E09000002,age48,2807
E09000002,age49,2882
E09000002,age50,2897
E09000002,age51,2860
E09000002,age52,2805
E09000002,age53,2800
E09000002,age54,2473
E09000002,age55,2510
E09000002,age56,2410
E09000002,age57,2205
E09000002,age58,2254
E09000002,age59,1947
E09000002,age60,2029
E09000002,age61,1777
E09000002,age62,1719
E09000002,age63,1524
E09000002,age64,1537
E09000003,age16,4897
E09000003,age17,4502
E09000003,age18,4007
E09000003,age19,3233
E09000003,age20,3293
E09000003,age21,4086
E09000003,age22,4577
E09000003,age23,5102
E09000003,age24,5337
E09000003,age25,5493
E09000003,age26,5500
E09000003,age27,5523
E09000003,age28,5609
E09000003,age29,5916
E09000003,age30,5952
E09000003,age31,5904
E09000003,age32,6148
E09000003,age33,6116
E09000003,age34,6055
E09000003,age35,6135
E09000003,age36,6220
E09000003,age37,5935
E09000003,age38,6223
E09000003,age39,6276
E09000003,age40,6343
E09000003,age41,6097
E09000003,age42,6149
E09000003,age43,5917
E09000003,age44,5582
E09000003,age45,5463
E09000003,age46,5499
E09000003,age47,5578
E09000003,age48,5486
E09000003,age49,5441
E09000003,age50,5296
E09000003,age51,5318
E09000003,age52,5193
E09000003,age53,4933
E09000003,age54,4905
E09000003,age55,4805
E09000003,age56,4741
E09000003,age57,4773
E09000003,age58,4297
E09000003,age59,4258
E09000003,age60,4140
E09000003,age61,3849
E09000003,age62,3882
E09000003,age63,3812
