code,category,value
E14000530,under1,1374
E14000530,age1,1354
E14000530,age2,1383
E14000530,age3,1328
E14000530,age4,1284
E14000530,age5,1377
E14000530,age6,1366
E14000530,age7,1269
E14000530,age8,1359
E14000530,age9,1328
E14000530,age10,1300
E14000530,age11,1268
E14000530,age12,1177
E14000530,age13,1258
E14000530,age14,1199
E14000530,age15,1166
E14000530,age16,1219
E14000530,age17,1325
E14000530,age18,1164
E14000530,age19,1181
E14000530,age20,1022
E14000530,age21,1169
E14000530,age22,1318
E14000530,age23,1351
E14000530,age24,1422
E14000530,age25,1621
E14000530,age26,1653
E14000530,age27,1687
E14000530,age28,1773
E14000530,age29,1749
E14000530,age30,1930
E14000530,age31,1871
E14000530,age32,1902
E14000530,age33,1918
E14000530,age34,1913
E14000530,age35,1799
E14000530,age36,1693
E14000530,age37,1692
E14000530,age38,1679
E14000530,age39,1638
E14000530,age40,1585
E14000530,age41,1661
E14000530,age42,1437
E14000530,age43,1432
E14000530,age44,1406
E14000530,age45,1411
E14000530,age46,1409
E14000530,age47,1451
E14000530,age48,1480
E14000530,age49,1466
E14000530,age50,1544
E14000530,age51,1531
E14000530,age52,1570
E14000530,age53,1533
E14000530,age54,1529
E14000530,age55,1638
E14000530,age56,1492
E14000530,age57,1484
E14000530,age58,1424
E14000530,age59,1341
E14000530,age60,1290
E14000530,age61,1167
E14000530,age62,1105
E14000530,age63,1049
E14000530,age64,1037
E14000530,age65,932
E14000530,age66,943
E14000530,age67,928
E14000530,age68,879
E14000530,age69,886
E14000530,age70,878
E14000530,age71,870
E14000530,age72,984
E14000530,age73,1020
E14000530,age74,1043
E14000530,age75,731
E14000530,age76,796
E14000530,age77,781
E14000530,age78,675
E14000530,age79,593
E14000530,age80,550
E14000530,age81,522
E14000530,age82,476
E14000530,age83,444
E14000530,age84,392
E14000530,age85,336
E14000530,age86,291
E14000530,age87,261
E14000530,age88,196
E14000530,age89,182
E14000530,age90,145
E14000530,age91,150
E14000530,age92,113
E14000530,age93,82
E14000530,age94,78
E14000530,age95,48
E14000530,age96,36
E14000530,age97,26
E14000530,age98,23
E14000530,age99,8
E14000530,over100,13
E14000531,under1,678
E14000531,age1,786
E14000531,age2,773
E14000531,age3,832
E14000531,age4,818
E14000531,age5,855
E14000531,age6,842
E14000531,age7,860
E14000531,age8,877
E14000531,age9,934
E14000531,age10,940
E14000531,age11,935
E14000531,age12,950
E14000531,age13,900
E14000531,age14,912
E14000531,age15,917
E14000531,age16,857
E14000531,age17,867
E14000531,age18,768
E14000531,age19,640
E14000531,age20,664
E14000531,age21,706
E14000531,age22,776
E14000531,age23,806
E14000531,age24,815
E14000531,age25,805
E14000531,age26,898
E14000531,age27,843
E14000531,age28,901
E14000531,age29,878
E14000531,age30,902
E14000531,age31,854
E14000531,age32,891
E14000531,age33,967
E14000531,age34,904
E14000531,age35,905
E14000531,age36,923
E14000531,age37,875
E14000531,age38,951
E14000531,age39,837
E14000531,age40,909
E14000531,age41,942
E14000531,age42,828
E14000531,age43,792
E14000531,age44,861
E14000531,age45,867
E14000531,age46,896
E14000531,age47,946
E14000531,age48,1029
E14000531,age49,1131
E14000531,age50,1133
E14000531,age51,1114
E14000531,age52,1180
E14000531,age53,1201
E14000531,age54,1197
E14000531,age55,1224
E14000531,age56,1137
E14000531,age57,1154
E14000531,age58,1109
E14000531,age59,1157
E14000531,age60,1081
E14000531,age61,1056
E14000531,age62,990
E14000531,age63,972
E14000531,age64,936
E14000531,age65,859
E14000531,age66,804
E14000531,age67,802
E14000531,age68,752
E14000531,age69,801
E14000531,age70,793
E14000531,age71,816
E14000531,age72,938
E14000531,age73,970
E14000531,age74,928
E14000531,age75,743
E14000531,age76,890
E14000531,age77,772
