code,category,value,areaName
E92000001,0,578988,England
E92000001,1,605935,England
E92000001,2,619034,England
E92000001,3,626362,England
E92000001,4,646631,England
E92000001,5,658689,England
E92000001,6,650561,England
E92000001,7,658862,England
E92000001,8,686130,England
E92000001,9,694459,England
E92000001,10,694521,England
E92000001,11,687720,England
E92000001,12,685258,England
E92000001,13,682623,England
E92000001,14,663207,England
E92000001,15,644114,England
E92000001,16,649461,England
E92000001,17,642047,England
E92000001,18,633055,England
E92000001,19,650218,England
E92000001,20,649299,England
E92000001,21,668329,England
E92000001,22,687528,England
E92000001,23,698292,England
E92000001,24,711002,England
E92000001,25,711905,England
E92000001,26,727406,England
E92000001,27,742890,England
E92000001,28,756337,England
E92000001,29,776742,England
E92000001,30,797928,England
E92000001,31,788788,England
E92000001,32,790637,England
E92000001,33,799057,England
E92000001,34,776175,England
E92000001,35,776446,England
E92000001,36,767279,England
E92000001,37,753532,England
E92000001,38,748859,England
E92000001,39,749272,England
E92000001,40,766198,England
E92000001,41,754198,England
E92000001,42,714352,England
E92000001,43,672556,England
E92000001,44,673102,England
E92000001,45,682808,England
E92000001,46,699709,England
E92000001,47,710495,England
E92000001,48,740039,England
E92000001,49,769592,England
E92000001,50,785291,England
E92000001,51,768746,England
E92000001,52,786290,England
E92000001,53,781398,England
E92000001,54,786029,England
E92000001,55,784118,England
E92000001,56,783957,England
E92000001,57,765136,England
E92000001,58,748635,England
E92000001,59,724523,England
E92000001,60,701394,England
E92000001,61,666435,England
E92000001,62,652427,England
E92000001,63,632317,England
E92000001,64,603422,England
E92000001,65,576028,England
E92000001,66,560611,England
E92000001,67,559979,England
E92000001,68,540680,England
E92000001,69,530198,England
E92000001,70,529681,England
E92000001,71,539464,England
E92000001,72,547932,England
E92000001,73,593125,England
E92000001,74,586445,England
E92000001,75,441363,England
E92000001,76,461253,England
E92000001,77,420043,England
E92000001,78,387810,England
E92000001,79,328305,England
E92000001,80,306469,England
E92000001,81,309591,England
E92000001,82,292597,England
E92000001,83,270464,England
E92000001,84,246962,England
E92000001,85,220591,England
E92000001,86,196082,England
E92000001,87,170829,England
E92000001,88,152212,England
E92000001,89,132774,England
E92000001,90,115402,England
E92000001,91,93441,England
E92000001,92,74958,England
E92000001,93,58196,England
E92000001,94,45721,England
E92000001,95,34053,England
E92000001,96,25205,England
E92000001,97,17909,England
E92000001,98,12734,England
E92000001,99,9069,England
E92000001,100,13124,England
W92000004,0,28336,Wales
W92000004,1,29828,Wales
W92000004,2,31158,Wales
W92000004,3,32407,Wales
W92000004,4,33357,Wales
W92000004,5,34446,Wales
W92000004,6,34085,Wales
W92000004,7,34380,Wales
W92000004,8,36201,Wales
W92000004,9,36813,Wales
W92000004,10,37048,Wales
