code,category,value,areaName
E09000001,employeePT,440,City of London
E09000001,employeeFT,3765,City of London
E09000001,selfEmployerPT,28,City of London
E09000001,selfEmployerFT,150,City of London
E09000001,selfPT,366,City of London
E09000001,selfFT,524,City of London
E09000001,jobSeeking,282,City of London
E09000001,studentEmployeePT,39,City of London
E09000001,studentEmployeeFT,19,City of London
E09000001,studentSelfEmployerPT,0,City of London
E09000001,studentSelfEmployerFT,0,City of London
E09000001,studentSelfPT,12,City of London
E09000001,studentSelfFT,8,City of London
E09000001,studentJobSeeking,45,City of London
E09000001,retired,993,City of London
E09000001,student,720,City of London
E09000001,care,192,City of London
E09000001,sick,124,City of London
E09000001,otherInactive,297,City of London
E09000002,employeePT,20789,Barking and Dagenham
E09000002,employeeFT,49895,Barking and Dagenham
E09000002,selfEmployerPT,895,Barking and Dagenham
E09000002,selfEmployerFT,2314,Barking and Dagenham
E09000002,selfPT,6242,Barking and Dagenham
E09000002,selfFT,10058,Barking and Dagenham
E09000002,jobSeeking,7641,Barking and Dagenham
E09000002,studentEmployeePT,2561,Barking and Dagenham
E09000002,studentEmployeeFT,1149,Barking and Dagenham
E09000002,studentSelfEmployerPT,53,Barking and Dagenham
E09000002,studentSelfEmployerFT,55,Barking and Dagenham
E09000002,studentSelfPT,347,Barking and Dagenham
E09000002,studentSelfFT,233,Barking and Dagenham
E09000002,studentJobSeeking,1435,Barking and Dagenham
E09000002,retired,16966,Barking and Dagenham
E09000002,student,12684,Barking and Dagenham
E09000002,care,13313,Barking and Dagenham
E09000002,sick,7312,Barking and Dagenham
E09000002,otherInactive,7804,Barking and Dagenham
E09000003,employeePT,35308,Barnet
E09000003,employeeFT,98975,Barnet
E09000003,selfEmployerPT,1972,Barnet
E09000003,selfEmployerFT,5817,Barnet
E09000003,selfPT,18463,Barnet
E09000003,selfFT,20028,Barnet
E09000003,jobSeeking,11671,Barnet
E09000003,studentEmployeePT,3317,Barnet
E09000003,studentEmployeeFT,1325,Barnet
E09000003,studentSelfEmployerPT,63,Barnet
E09000003,studentSelfEmployerFT,49,Barnet
E09000003,studentSelfPT,558,Barnet
E09000003,studentSelfFT,301,Barnet
E09000003,studentJobSeeking,1914,Barnet
E09000003,retired,46200,Barnet
E09000003,student,21618,Barnet
E09000003,care,18968,Barnet
E09000003,sick,10042,Barnet
E09000003,otherInactive,12766,Barnet
E09000004,employeePT,23041,Bexley
E09000004,employeeFT,72468,Bexley
E09000004,selfEmployerPT,668,Bexley
E09000004,selfEmployerFT,2309,Bexley
E09000004,selfPT,6530,Bexley
E09000004,selfFT,9881,Bexley
E09000004,jobSeeking,6279,Bexley
E09000004,studentEmployeePT,2093,Bexley
E09000004,studentEmployeeFT,607,Bexley
E09000004,studentSelfEmployerPT,26,Bexley
E09000004,studentSelfEmployerFT,19,Bexley
E09000004,studentSelfPT,223,Bexley
