code,N/A,i01,i02,i03,i05,i06,i07,i08,i09,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20,i21,i22,i23,i24,i25,i26,i27,i28,i29,i30,i31,i32,i33,i35,i36,i37,i38,i39,i41_42_43,i45,i46,i47,i48,i49,i50,i51,i52,i53,i55,i56,i58,i59,i60,i61,i62,i63,i64,i65,i66,i68,i69,i70,i71,i72,i73,i74,i75,i77,i78,i79,i80,i81,i82,i84,i85,i86,i87,i88,i90,i91,i92,i93,i94,i95,i96,i97,i98,i99
E14000530,52078,69,4,1,0,61,0,12,1,193,40,8,39,61,5,12,35,157,31,94,207,137,21,27,255,275,82,204,254,292,63,513,126,243,241,51,198,2,4928,1225,1417,5567,255,1206,28,368,565,686,396,2449,114,169,88,593,2930,103,637,676,561,668,978,402,637,338,405,265,152,322,342,245,793,2346,356,6238,4521,4923,1438,2403,282,79,128,697,199,63,946,42,0,9
E14000531,42170,57,1,4,0,8,0,8,0,177,43,1,47,45,113,30,31,121,6,110,55,237,65,359,555,84,105,213,566,126,85,598,95,205,169,17,263,2,4099,770,1282,3574,134,919,15,33,486,478,135,1121,28,32,25,212,570,18,451,292,243,588,697,148,401,26,133,108,63,154,243,75,133,734,208,1907,3956,2896,550,1447,141,41,72,331,195,51,646,14,0,0
E14000532,53189,71,2,0,0,43,0,6,4,252,37,7,70,99,6,4,44,126,11,119,269,120,59,55,116,215,36,101,151,62,66,387,44,269,109,4,155,5,3082,444,1157,4298,181,598,25,168,471,260,180,1459,93,226,273,462,2281,53,1149,607,775,1151,2361,769,1205,270,678,374,78,196,648,276,191,782,323,1936,5163,6075,355,1426,364,74,93,648,237,40,619,30,0,7
E14000533,47482,173,7,4,6,8,1,49,1,702,54,7,213,186,11,51,98,259,2,235,90,716,378,107,401,125,89,227,379,754,526,860,120,282,149,19,212,2,4900,976,1498,4501,127,1254,10,42,593,463,192,1525,22,53,33,190,732,19,232,92,167,509,570,157,563,89,127,175,129,136,173,94,147,1067,303,2616,3610,2932,765,1783,187,63,120,416,156,37,775,15,0,2
E14000534,56120,769,32,18,1,30,7,10,3,214,76,6,46,61,12,52,12,151,12,67,233,97,80,30,186,214,91,112,301,136,112,473,86,258,201,29,147,2,4530,999,1173,4102,214,725,35,447,337,318,346,1626,242,184,63,284,1363,47,637,704,732,1149,1116,697,865,194,488,392,246,136,349,362,165,1676,357,2276,4995,3611,764,1944,517,215,33,743,352,69,941,42,0,4
E14000535,57132,162,13,5,19,13,0,31,6,492,48,5,247,202,6,73,66,379,6,196,164,769,159,178,669,131,129,228,358,529,568,863,110,477,183,16,206,5,5143,1199,1890,5913,162,1253,16,40,859,558,216,1574,24,33,11,186,707,31,259,129,151,465,490,125,420,98,129,132,92,141,199,85,232,1043,344,2371,3858,4157,947,2218,145,60,78,446,152,48,816,6,0,2
E14000536,66260,866,34,12,4,17,0,8,1,573,85,5,66,63,6,95,52,240,7,385,200,231,97,86,255,156,61,155,144,93,114,776,152,443,123,37,224,13,6662,1120,1890,6259,236,2089,41,55,478,452,405,2313,166,182,70,373,1334,57,733,606,623,760,1217,463,823,134,417,335,178,229,426,336,464,1928,367,3416,5366,6351,953,2404,382,145,55,439,270,190,940,34,0,15
E14000537,53178,33,1,4,0,25,0,1,1,818,51,2,200,123,10,37,69,184,2,143,69,267,60,56,269,164,146,186,145,110,191,492,93,222,83,12,170,5,3847,727,1371,5310,179,1524,15,67,484,606,189,1883,60,59,53,348,717,32,657,518,251,692,1003,185,423,95,249,161,55,180,275,148,405,866,438,2385,3778,4008,648,1887,183,60,128,378,148,40,627,8,0,6
E14000538,60713,277,20,4,0,54,1,10,4,475,78,4,71,62,9,36,25,283,16,108,369,282,57,37,238,373,134,197,341,196,251,720,97,203,225,54,379,4,5616,1255,1712,5715,258,1742,27,212,442,545,336,2128,168,437,185,522,2563,68,814,455,760,999,1182,688,792,291,589,392,196,218,444,239,378,1843,458,5252,6009,6251,999,2651,460,184,72,662,328,62,1018,44,0,9
E14000539,64098,725,43,4,8,24,0,34,5,1536,86,8,55,106,27,39,90,305,14,189,230,349,76,89,432,290,161,194,1960,201,128,1143,102,287,237,42,259,5,5478,1444,2740,8469,303,1448,41,133,1214,772,397,2793,575,210,86,438,2209,70,708,279,463,911,1197,709,1039,620,530,440,240,204,512,176,344,2037,520,3994,6845,5316,999,2478,520,163,59,1154,345,56,1059,59,0,86
