boroughs,age,ageValue,occupation,occupationValue
City of London,age16,36,management,1104
City of London,age16,36,professional,2349
City of London,age16,36,technical,1027
City of London,age16,36,admin,267
City of London,age16,36,skilledTrade,97
City of London,age16,36,service,152
City of London,age16,36,sales,122
City of London,age16,36,manual,50
City of London,age16,36,elementary,178
City of London,age17,37,management,1104
City of London,age17,37,professional,2349
City of London,age17,37,technical,1027
City of London,age17,37,admin,267
City of London,age17,37,skilledTrade,97
City of London,age17,37,service,152
City of London,age17,37,sales,122
City of London,age17,37,manual,50
City of London,age17,37,elementary,178
City of London,age18,60,management,1104
City of London,age18,60,professional,2349
City of London,age18,60,technical,1027
City of London,age18,60,admin,267
City of London,age18,60,skilledTrade,97
City of London,age18,60,service,152
City of London,age18,60,sales,122
City of London,age18,60,manual,50
City of London,age18,60,elementary,178
City of London,age19,52,management,1104
City of London,age19,52,professional,2349
City of London,age19,52,technical,1027
City of London,age19,52,admin,267
City of London,age19,52,skilledTrade,97
City of London,age19,52,service,152
City of London,age19,52,sales,122
City of London,age19,52,manual,50
City of London,age19,52,elementary,178
City of London,age20,113,management,1104
City of London,age20,113,professional,2349
City of London,age20,113,technical,1027
City of London,age20,113,admin,267
City of London,age20,113,skilledTrade,97
City of London,age20,113,service,152
City of London,age20,113,sales,122
City of London,age20,113,manual,50
City of London,age20,113,elementary,178
City of London,age21,131,management,1104
City of London,age21,131,professional,2349
City of London,age21,131,technical,1027
City of London,age21,131,admin,267
City of London,age21,131,skilledTrade,97
City of London,age21,131,service,152
City of London,age21,131,sales,122
City of London,age21,131,manual,50
City of London,age21,131,elementary,178
City of London,age22,193,management,1104
City of London,age22,193,professional,2349
City of London,age22,193,technical,1027
City of London,age22,193,admin,267
City of London,age22,193,skilledTrade,97
City of London,age22,193,service,152
City of London,age22,193,sales,122
City of London,age22,193,manual,50
City of London,age22,193,elementary,178
City of London,age23,307,management,1104
City of London,age23,307,professional,2349
City of London,age23,307,technical,1027
City of London,age23,307,admin,267
City of London,age23,307,skilledTrade,97
City of London,age23,307,service,152
City of London,age23,307,sales,122
City of London,age23,307,manual,50
City of London,age23,307,elementary,178
City of London,age24,221,management,1104
City of London,age24,221,professional,2349
City of London,age24,221,technical,1027
City of London,age24,221,admin,267
City of London,age24,221,skilledTrade,97
City of London,age24,221,service,152
City of London,age24,221,sales,122
City of London,age24,221,manual,50
City of London,age24,221,elementary,178
City of London,age25,245,management,1104
City of London,age25,245,professional,2349
City of London,age25,245,technical,1027
City of London,age25,245,admin,267
City of London,age25,245,skilledTrade,97
City of London,age25,245,service,152
City of London,age25,245,sales,122
City of London,age25,245,manual,50
City of London,age25,245,elementary,178
City of London,age26,262,management,1104
City of London,age26,262,professional,2349
City of London,age26,262,technical,1027
City of London,age26,262,admin,267
City of London,age26,262,skilledTrade,97
City of London,age26,262,service,152
City of London,age26,262,sales,122
City of London,age26,262,manual,50
City of London,age26,262,elementary,178
City of London,age27,240,management,1104
City of London,age27,240,professional,2349
City of London,age27,240,technical,1027
City of London,age27,240,admin,267
City of London,age27,240,skilledTrade,97
City of London,age27,240,service,152
City of London,age27,240,sales,122
City of London,age27,240,manual,50
City of London,age27,240,elementary,178
City of London,age28,227,management,1104
City of London,age28,227,professional,2349
City of London,age28,227,technical,1027
City of London,age28,227,admin,267
City of London,age28,227,skilledTrade,97
City of London,age28,227,service,152
City of London,age28,227,sales,122
City of London,age28,227,manual,50
City of London,age28,227,elementary,178
City of London,age29,239,management,1104
City of London,age29,239,professional,2349
City of London,age29,239,technical,1027
City of London,age29,239,admin,267
City of London,age29,239,skilledTrade,97
City of London,age29,239,service,152
City of London,age29,239,sales,122
City of London,age29,239,manual,50
City of London,age29,239,elementary,178
City of London,age30,243,management,1104
City of London,age30,243,professional,2349
City of London,age30,243,technical,1027
City of London,age30,243,admin,267
City of London,age30,243,skilledTrade,97
City of London,age30,243,service,152
City of London,age30,243,sales,122
City of London,age30,243,manual,50
City of London,age30,243,elementary,178
City of London,age31,201,management,1104
City of London,age31,201,professional,2349
City of London,age31,201,technical,1027
City of London,age31,201,admin,267
City of London,age31,201,skilledTrade,97
City of London,age31,201,service,152
City of London,age31,201,sales,122
City of London,age31,201,manual,50
City of London,age31,201,elementary,178
City of London,age32,211,management,1104
City of London,age32,211,professional,2349
City of London,age32,211,technical,1027
City of London,age32,211,admin,267
City of London,age32,211,skilledTrade,97
City of London,age32,211,service,152
City of London,age32,211,sales,122
City of London,age32,211,manual,50
City of London,age32,211,elementary,178
City of London,age33,186,management,1104
City of London,age33,186,professional,2349
City of London,age33,186,technical,1027
City of London,age33,186,admin,267
City of London,age33,186,skilledTrade,97
City of London,age33,186,service,152
City of London,age33,186,sales,122
City of London,age33,186,manual,50
City of London,age33,186,elementary,178
City of London,age34,159,management,1104
City of London,age34,159,professional,2349
City of London,age34,159,technical,1027
City of London,age34,159,admin,267
City of London,age34,159,skilledTrade,97
City of London,age34,159,service,152
City of London,age34,159,sales,122
City of London,age34,159,manual,50
City of London,age34,159,elementary,178
City of London,age35,174,management,1104
City of London,age35,174,professional,2349
City of London,age35,174,technical,1027
