code,occupation,occupationValue
E09000001,management,1104
E09000001,professional,2349
E09000001,technical,1027
E09000001,admin,267
E09000001,skilledTrade,97
E09000001,service,152
E09000001,sales,122
E09000001,manual,50
E09000001,elementary,178
E09000002,management,7786
E09000002,professional,15185
E09000002,technical,9279
E09000002,admin,8798
E09000002,skilledTrade,10957
E09000002,service,10934
E09000002,sales,7686
E09000002,manual,8964
E09000002,elementary,15000
E09000003,management,31481
E09000003,professional,50534
E09000003,technical,25626
E09000003,admin,16520
E09000003,skilledTrade,14478
E09000003,service,14342
E09000003,sales,10663
E09000003,manual,8394
E09000003,elementary,14137
E09000004,management,14498
E09000004,professional,23417
E09000004,technical,16138
E09000004,admin,15535
E09000004,skilledTrade,12291
E09000004,service,10333
E09000004,sales,8186
E09000004,manual,7430
E09000004,elementary,10155
E09000005,management,18700
E09000005,professional,31402
E09000005,technical,19463
E09000005,admin,13311
E09000005,skilledTrade,15838
E09000005,service,13901
E09000005,sales,13423
E09000005,manual,12932
E09000005,elementary,22027
E09000006,management,27845
E09000006,professional,43321
E09000006,technical,25707
E09000006,admin,17733
E09000006,skilledTrade,12787
E09000006,service,11212
E09000006,sales,8498
E09000006,manual,5867
E09000006,elementary,9152
E09000007,management,18247
E09000007,professional,35269
E09000007,technical,19193
E09000007,admin,6330
E09000007,skilledTrade,3781
E09000007,service,6279
E09000007,sales,5152
E09000007,manual,2963
E09000007,elementary,5299
E09000008,management,24114
E09000008,professional,43348
E09000008,technical,26739
E09000008,admin,19333
E09000008,skilledTrade,15968
E09000008,service,18250
E09000008,sales,13735
E09000008,manual,10765
E09000008,elementary,17155
E09000009,management,24147
E09000009,professional,39697
E09000009,technical,23951
E09000009,admin,14223
E09000009,skilledTrade,15555
E09000009,service,12912
E09000009,sales,12773
E09000009,manual,11767
E09000009,elementary,20000
E09000010,management,18297
E09000010,professional,29475
E09000010,technical,17729
E09000010,admin,13804
E09000010,skilledTrade,14397
E09000010,service,13986
E09000010,sales,10695
E09000010,manual,9440
E09000010,elementary,16041
E09000011,management,18826
E09000011,professional,35907
E09000011,technical,21127
E09000011,admin,11610
E09000011,skilledTrade,10735
E09000011,service,13290
E09000011,sales,9173
E09000011,manual,7183
E09000011,elementary,15083
E09000012,management,18646
E09000012,professional,40040
E09000012,technical,27603
E09000012,admin,9468
E09000012,skilledTrade,6468
E09000012,service,9742
E09000012,sales,7191
E09000012,manual,4530
E09000012,elementary,10624
E09000013,management,18326
E09000013,professional,29279
E09000013,technical,18574
E09000013,admin,6900
E09000013,skilledTrade,4493
E09000013,service,6803
E09000013,sales,5004
E09000013,manual,2711
E09000013,elementary,6006
E09000014,management,17168
E09000014,professional,33738
E09000014,technical,21842
E09000014,admin,9189
E09000014,skilledTrade,11265
E09000014,service,10419
E09000014,sales,8084
E09000014,manual,6027
E09000014,elementary,16651
E09000015,management,17524
E09000015,professional,31409
E09000015,technical,14526
E09000015,admin,12204
E09000015,skilledTrade,12184
E09000015,service,8624
E09000015,sales,9061
E09000015,manual,7806
E09000015,elementary,11702
E09000016,management,15438
E09000016,professional,24339
E09000016,technical,16717
E09000016,admin,16701
E09000016,skilledTrade,14375
E09000016,service,10294
E09000016,sales,8162
E09000016,manual,8058
E09000016,elementary,10697
E09000017,management,18524
E09000017,professional,30087
E09000017,technical,18036
E09000017,admin,14401
E09000017,skilledTrade,13152
E09000017,service,12044
E09000017,sales,10772
E09000017,manual,10752
E09000017,elementary,15035
E09000018,management,17914
E09000018,professional,27755
E09000018,technical,17668
E09000018,admin,12160
E09000018,skilledTrade,12138
E09000018,service,11345
E09000018,sales,11117
E09000018,manual,10067
E09000018,elementary,18636
E09000019,management,17439
E09000019,professional,39312
E09000019,technical,22879
E09000019,admin,7333
E09000019,skilledTrade,4945
E09000019,service,6756
E09000019,sales,5601
E09000019,manual,3496
E09000019,elementary,7211
E09000020,management,18485
E09000020,professional,19186
E09000020,technical,12294
E09000020,admin,4117
E09000020,skilledTrade,2221
E09000020,service,5064
