code,category,value
E14000530,N/A,52078
E14000530,management,6842
E14000530,professional,10370
E14000530,technical,9350
E14000530,admin,5676
E14000530,skilledTrade,6149
E14000530,service,6488
E14000530,sales,4423
E14000530,manual,3460
E14000530,elementary,6435
E14000531,N/A,42170
E14000531,management,4402
E14000531,professional,6245
E14000531,technical,4462
E14000531,admin,3778
E14000531,skilledTrade,4599
E14000531,service,3186
E14000531,sales,2569
E14000531,manual,2704
E14000531,elementary,3537
E14000532,N/A,53189
E14000532,management,8953
E14000532,professional,15442
E14000532,technical,6817
E14000532,admin,4372
E14000532,skilledTrade,2811
E14000532,service,2823
E14000532,sales,2821
E14000532,manual,1242
E14000532,elementary,2455
E14000533,N/A,47482
E14000533,management,4893
E14000533,professional,6207
E14000533,technical,5069
E14000533,admin,4021
E14000533,skilledTrade,5827
E14000533,service,4058
E14000533,sales,3384
E14000533,manual,4464
E14000533,elementary,4917
E14000534,N/A,56120
E14000534,management,9129
E14000534,professional,9959
E14000534,technical,6887
E14000534,admin,4432
E14000534,skilledTrade,5423
E14000534,service,4198
E14000534,sales,2850
E14000534,manual,1884
E14000534,elementary,3412
E14000535,N/A,57132
E14000535,management,4559
E14000535,professional,6056
E14000535,technical,4990
E14000535,admin,4396
E14000535,skilledTrade,6385
E14000535,service,5150
E14000535,sales,4222
E14000535,manual,4960
E14000535,elementary,6643
E14000536,N/A,66260
E14000536,management,8639
E14000536,professional,11223
E14000536,technical,7933
E14000536,admin,5531
E14000536,skilledTrade,7019
E14000536,service,5646
E14000536,sales,4742
E14000536,manual,4241
E14000536,elementary,6089
E14000537,N/A,53178
E14000537,management,3732
E14000537,professional,6064
E14000537,technical,5139
E14000537,admin,4695
E14000537,skilledTrade,4958
E14000537,service,4534
E14000537,sales,4297
E14000537,manual,4179
E14000537,elementary,5197
E14000538,N/A,60713
E14000538,management,9455
E14000538,professional,12871
E14000538,technical,9710
E14000538,admin,6564
E14000538,skilledTrade,6436
E14000538,service,5964
E14000538,sales,4360
E14000538,manual,3862
E14000538,elementary,5148
E14000539,N/A,64098
E14000539,management,9933
E14000539,professional,13489
E14000539,technical,9786
E14000539,admin,6519
E14000539,skilledTrade,7300
E14000539,service,5640
E14000539,sales,5886
E14000539,manual,5954
E14000539,elementary,7856
E14000540,N/A,82915
E14000540,management,5181
E14000540,professional,10070
E14000540,technical,6207
E14000540,admin,5795
E14000540,skilledTrade,7275
E14000540,service,7186
E14000540,sales,5136
E14000540,manual,5976
E14000540,elementary,10146
E14000541,N/A,48346
E14000541,management,3917
E14000541,professional,5876
E14000541,technical,4596
E14000541,admin,3685
E14000541,skilledTrade,5084
E14000541,service,4394
E14000541,sales,3631
E14000541,manual,4604
E14000541,elementary,6420
E14000542,N/A,52073
E14000542,management,3845
E14000542,professional,5032
E14000542,technical,4410
E14000542,admin,3723
E14000542,skilledTrade,5659
E14000542,service,4618
E14000542,sales,4203
E14000542,manual,4665
E14000542,elementary,6129
E14000543,N/A,46717
E14000543,management,3790
E14000543,professional,7879
E14000543,technical,5028
E14000543,admin,3139
E14000543,skilledTrade,6206
E14000543,service,4372
E14000543,sales,3057
E14000543,manual,2839
E14000543,elementary,4408
E14000544,N/A,51708
E14000544,management,5988
E14000544,professional,8294
E14000544,technical,6071
E14000544,admin,5465
E14000544,skilledTrade,4795
E14000544,service,4032
E14000544,sales,3229
E14000544,manual,3210
E14000544,elementary,4912
E14000545,N/A,55634
E14000545,management,7778
E14000545,professional,13645
E14000545,technical,9270
E14000545,admin,6342
E14000545,skilledTrade,5840
E14000545,service,5718
E14000545,sales,4892
E14000545,manual,3952
E14000545,elementary,6425
E14000546,N/A,57894
E14000546,management,6027
E14000546,professional,7234
E14000546,technical,5447
E14000546,admin,4186
E14000546,skilledTrade,5933
E14000546,service,5335
E14000546,sales,3914
E14000546,manual,5733
E14000546,elementary,6708
E14000547,N/A,52762
E14000547,management,6110
E14000547,professional,12226
E14000547,technical,6065
E14000547,admin,3165
E14000547,skilledTrade,3129
E14000547,service,3351
E14000547,sales,2910
E14000547,manual,1325
E14000547,elementary,4000
E14000548,N/A,61272
E14000548,management,5411
E14000548,professional,7833
E14000548,technical,6090
E14000548,admin,4925
E14000548,skilledTrade,5600
E14000548,service,4574
E14000548,sales,4524
E14000548,manual,5012
E14000548,elementary,5449
E14000549,N/A,46726
E14000549,management,14152
E14000549,professional,24153
E14000549,technical,15019
E14000549,admin,4941
E14000549,skilledTrade,2566
E14000549,service,4013
E14000549,sales,2841
E14000549,manual,1651
E14000549,elementary,3370
E14000550,N/A,54153
E14000550,management,11412
E14000550,professional,12099
E14000550,technical,7808
E14000550,admin,4852
E14000550,skilledTrade,4284
E14000550,service,3346
E14000550,sales,2550
E14000550,manual,1814
E14000550,elementary,2713
E14000551,N/A,46995
E14000551,management,8395
E14000551,professional,12633
E14000551,technical,7498
E14000551,admin,5238
E14000551,skilledTrade,3464
E14000551,service,2826
E14000551,sales,2194
E14000551,manual,1430
E14000551,elementary,2101
E14000552,N/A,57223
E14000552,management,5353
E14000552,professional,9717
E14000552,technical,6482
E14000552,admin,4529
E14000552,skilledTrade,5157
E14000552,service,5239
E14000552,sales,4281
E14000552,manual,4367
E14000552,elementary,8252
E14000553,N/A,63134
E14000553,management,11306
E14000553,professional,25695
E14000553,technical,13225
E14000553,admin,5654
E14000553,skilledTrade,3652
E14000553,service,5404
E14000553,sales,4148
E14000553,manual,2795
E14000553,elementary,7751
E14000554,N/A,43060
E14000554,management,4332
E14000554,professional,4839
E14000554,technical,3535
E14000554,admin,2673
E14000554,skilledTrade,4892
E14000554,service,3499
E14000554,sales,2673
E14000554,manual,2339
E14000554,elementary,3697
E14000555,N/A,73220
E14000555,management,8618
E14000555,professional,21360
E14000555,technical,13273
E14000555,admin,4952
E14000555,skilledTrade,3406
E14000555,service,4311
E14000555,sales,4868
E14000555,manual,3264
E14000555,elementary,5749
E14000556,N/A,55205
E14000556,management,5895
E14000556,professional,8294
E14000556,technical,5986
E14000556,admin,4199
E14000556,skilledTrade,5836
E14000556,service,4358
E14000556,sales,3217
E14000556,manual,2953
E14000556,elementary,3998
E14000557,N/A,60102
E14000557,management,6915
E14000557,professional,7808
E14000557,technical,5674
E14000557,admin,4409
E14000557,skilledTrade,6215
E14000557,service,4944
E14000557,sales,3138
E14000557,manual,2083
E14000557,elementary,3385
E14000558,N/A,49058
E14000558,management,5554
E14000558,professional,9083
E14000558,technical,6110
E14000558,admin,5921
E14000558,skilledTrade,4833
E14000558,service,3855
E14000558,sales,3379
E14000558,manual,2864
E14000558,elementary,3957
E14000559,N/A,52197
E14000559,management,3613
E14000559,professional,6268
E14000559,technical,4373
E14000559,admin,3672
E14000559,skilledTrade,3849
E14000559,service,5043
E14000559,sales,3544
E14000559,manual,3143
E14000559,elementary,4575
E14000560,N/A,59066
E14000560,management,4613
E14000560,professional,12620
E14000560,technical,4893
E14000560,admin,3456
