code,category,value
E92000001,N/A,30084834
E92000001,management,3403916
E92000001,professional,5356649
E92000001,technical,3499749
E92000001,admin,2446565
E92000001,skilledTrade,2683139
E92000001,service,2447148
E92000001,sales,1972553
E92000001,manual,1832666
E92000001,elementary,2762829
W92000004,N/A,1739043
W92000004,management,143938
W92000004,professional,249466
W92000004,technical,161273
W92000004,admin,128116
W92000004,skilledTrade,166613
W92000004,service,153029
W92000004,sales,114559
W92000004,manual,107475
W92000004,elementary,143982
