code,category,value
E14000530,female,55319
E14000530,male,55953
E14000531,female,39833
E14000531,male,37819
E14000532,female,51914
E14000532,male,49010
E14000533,female,45868
E14000533,male,44454
E14000534,female,53974
E14000534,male,50320
E14000535,female,53319
E14000535,male,51174
E14000536,female,65405
E14000536,male,61918
E14000537,female,48869
E14000537,male,47104
E14000538,female,63090
E14000538,male,61994
E14000539,female,68644
E14000539,male,67818
E14000540,female,74653
E14000540,male,71235
E14000541,female,45784
E14000541,male,44772
E14000542,female,47944
E14000542,male,46414
E14000543,female,44067
E14000543,male,43371
E14000544,female,50431
E14000544,male,47270
E14000545,female,60140
E14000545,male,59356
E14000546,female,54738
E14000546,male,53673
E14000547,female,48616
E14000547,male,46427
E14000548,female,56440
E14000548,male,54249
E14000549,female,62477
E14000549,male,56954
E14000550,female,54416
E14000550,male,50615
E14000551,female,47895
E14000551,male,44882
E14000552,female,55797
E14000552,male,54804
E14000553,female,72269
E14000553,male,70495
E14000554,female,38199
E14000554,male,37340
E14000555,female,71870
E14000555,male,71151
E14000556,female,51075
E14000556,male,48868
E14000557,female,54772
E14000557,male,49903
E14000558,female,49219
E14000558,male,45393
E14000559,female,45946
E14000559,male,44331
E14000560,female,51624
E14000560,male,48504
E14000561,female,53907
E14000561,male,50950
E14000562,female,61169
E14000562,male,60745
E14000563,female,67572
E14000563,male,64801
E14000564,female,71843
E14000564,male,72217
E14000565,female,55332
E14000565,male,50562
E14000566,female,56728
E14000566,male,55712
E14000567,female,56961
E14000567,male,52644
E14000568,female,59608
E14000568,male,57355
E14000569,female,45893
E14000569,male,44018
E14000570,female,57678
E14000570,male,56717
E14000571,female,64283
E14000571,male,64627
E14000572,female,42172
E14000572,male,40701
E14000573,female,41134
E14000573,male,39866
E14000574,female,45290
E14000574,male,42730
E14000575,female,43547
E14000575,male,41790
E14000576,female,56533
E14000576,male,53618
E14000577,female,50742
E14000577,male,49236
E14000578,female,51142
E14000578,male,49942
E14000579,female,56423
E14000579,male,54985
E14000580,female,50448
E14000580,male,48657
E14000581,female,52137
E14000581,male,49245
E14000582,female,55742
E14000582,male,53744
E14000583,female,54168
E14000583,male,52663
E14000584,female,54440
E14000584,male,52498
E14000585,female,54470
E14000585,male,53155
E14000586,female,57295
E14000586,male,56664
E14000587,female,61809
E14000587,male,60005
E14000588,female,54971
E14000588,male,51469
E14000589,female,61194
E14000589,male,60161
E14000590,female,52488
E14000590,male,50775
E14000591,female,77127
E14000591,male,72592
E14000592,female,72360
E14000592,male,72558
E14000593,female,73034
E14000593,male,70836
E14000594,female,50539
E14000594,male,47826
E14000595,female,58838
E14000595,male,57452
E14000596,female,44656
E14000596,male,43011
E14000597,female,47606
E14000597,male,46052
E14000598,female,53408
E14000598,male,51331
E14000599,female,52715
E14000599,male,51600
E14000600,female,55924
E14000600,male,54122
E14000601,female,60097
E14000601,male,58045
E14000602,female,69206
E14000602,male,70756
E14000603,female,51284
E14000603,male,48778
E14000604,female,50220
E14000604,male,45873
E14000605,female,50730
E14000605,male,48453
E14000606,female,54006
E14000606,male,50643
E14000607,female,49025
E14000607,male,47290
E14000608,female,56906
E14000608,male,54347
E14000609,female,47849
E14000609,male,46797
E14000610,female,56104
E14000610,male,56427
E14000611,female,46788
E14000611,male,45070
E14000612,female,51953
E14000612,male,50040
E14000613,female,59398
E14000613,male,58049
E14000614,female,52773
E14000614,male,49801
E14000615,female,67342
E14000615,male,60691
E14000616,female,48845
E14000616,male,46597
E14000617,female,66608
E14000617,male,67139
E14000618,female,51007
E14000618,male,49512
E14000619,female,59016
E14000619,male,54373
E14000620,female,45160
E14000620,male,43054
E14000621,female,54154
E14000621,male,50530
E14000622,female,46225
E14000622,male,43362
E14000623,female,49054
E14000623,male,46407
E14000624,female,52605
E14000624,male,50521
E14000625,female,53546
E14000625,male,51374
E14000626,female,52441
E14000626,male,50121
E14000627,female,49214
E14000627,male,46265
E14000628,female,57331
E14000628,male,55540
E14000629,female,54812
E14000629,male,46943
E14000630,female,54695
E14000630,male,52433
E14000631,female,49799
E14000631,male,46887
E14000632,female,47412
E14000632,male,45829
E14000633,female,59570
E14000633,male,54851
E14000634,female,49253
E14000634,male,46723
E14000635,female,51982
E14000635,male,49655
E14000636,female,60751
E14000636,male,56761
E14000637,female,53479
E14000637,male,51531
E14000638,female,45928
E14000638,male,41876
E14000639,female,50594
E14000639,male,50443
E14000640,female,51238
E14000640,male,49029
E14000641,female,50434
E14000641,male,48920
E14000642,female,47417
E14000642,male,43552
E14000643,female,48061
E14000643,male,46106
E14000644,female,63170
E14000644,male,60691
E14000645,female,58005
E14000645,male,54937
E14000646,female,53164
E14000646,male,50873
E14000647,female,38439
E14000647,male,38075
E14000648,female,65559
E14000648,male,63906
E14000649,female,63086
E14000649,male,61324
E14000650,female,54070
E14000650,male,53220
E14000651,female,55981
E14000651,male,57643
E14000652,female,59492
E14000652,male,59001
E14000653,female,57404
E14000653,male,56754
E14000654,female,65165
E14000654,male,59712
E14000655,female,76446
E14000655,male,70210
E14000656,female,61475
E14000656,male,57709
E14000657,female,59751
E14000657,male,56048
E14000658,female,47137
E14000658,male,45059
E14000659,female,62704
E14000659,male,59980
E14000660,female,54037
E14000660,male,53543
E14000661,female,45039
E14000661,male,42787
E14000662,female,52067
E14000662,male,51168
E14000663,female,59334
E14000663,male,59183
E14000664,female,41301
E14000664,male,39526
E14000665,female,51454
E14000665,male,52364
E14000666,female,57764
E14000666,male,55878
E14000667,female,51150
E14000667,male,50563
E14000668,female,53529
E14000668,male,54028
E14000669,female,50601
E14000669,male,48235
E14000670,female,52295
E14000670,male,49773
E14000671,female,43912
E14000671,male,42339
E14000672,female,41563
E14000672,male,40027
E14000673,female,59534
E14000673,male,54343
E14000674,female,66145
E14000674,male,63067
E14000675,female,66091
E14000675,male,63810
E14000676,female,53969
E14000676,male,54031
E14000677,female,41971
E14000677,male,39541
E14000678,female,58028
E14000678,male,53888
E14000679,female,83598
E14000679,male,83356
E14000680,female,53074
E14000680,male,49977
E14000681,female,59492
E14000681,male,55809
E14000682,female,51339
E14000682,male,48284
E14000683,female,53324
E14000683,male,51035
E14000684,female,57174
E14000684,male,52070
E14000685,female,58877
E14000685,male,56440
E14000686,female,50472
E14000686,male,48087
E14000687,female,61949
E14000687,male,56084
E14000688,female,47483
E14000688,male,44687
E14000689,female,53508
E14000689,male,50642
E14000690,female,50444
E14000690,male,46701
E14000691,female,57603
E14000691,male,51388
E14000692,female,52921
E14000692,male,50039
E14000693,female,52938
E14000693,male,49675
E14000694,female,57766
E14000694,male,53957
E14000695,female,48340
E14000695,male,46833
E14000696,female,60451
E14000696,male,57851
E14000697,female,59852
E14000697,male,55956
E14000698,female,58989
E14000698,male,56239
E14000699,female,51425
E14000699,male,48770
E14000700,female,52145
E14000700,male,49352
E14000701,female,71945
E14000701,male,72366
E14000702,female,52993
E14000702,male,53218
E14000703,female,65339
E14000703,male,60707
E14000704,female,58933
E14000704,male,56248
E14000705,female,46734
E14000705,male,44826
E14000706,female,45179
E14000706,male,43349
E14000707,female,49763
E14000707,male,47979
E14000708,female,52714
E14000708,male,48575
E14000709,female,46159
E14000709,male,45509
E14000710,female,48863
E14000710,male,45823
E14000711,female,52490
E14000711,male,49823
E14000712,female,62089
E14000712,male,60792
E14000713,female,49136
E14000713,male,47134
E14000714,female,58008
E14000714,male,54776
E14000715,female,54667
E14000715,male,52233
E14000716,female,43910
E14000716,male,42242
E14000717,female,50853
E14000717,male,48892
E14000718,female,69869
E14000718,male,65925
E14000719,female,57128
E14000719,male,54224
E14000720,female,70052
E14000720,male,64161
E14000721,female,65251
E14000721,male,59679
E14000722,female,47272
E14000722,male,45311
E14000723,female,53128
E14000723,male,50929
E14000724,female,45845
E14000724,male,44621
E14000725,female,49620
E14000725,male,47897
E14000726,female,62247
E14000726,male,55582
E14000727,female,67700
E14000727,male,60984
E14000728,female,55928
E14000728,male,53478
E14000729,female,53418
E14000729,male,50956
E14000730,female,53544
E14000730,male,51195
E14000731,female,56423
E14000731,male,54762
E14000732,female,58733
E14000732,male,58212
E14000733,female,47653
E14000733,male,44685
E14000734,female,49113
E14000734,male,46679
E14000735,female,56343
E14000735,male,52950
E14000736,female,49240
E14000736,male,45765
E14000737,female,63108
E14000737,male,63294
E14000738,female,41453
E14000738,male,38921
E14000739,female,54980
E14000739,male,52602
E14000740,female,50948
E14000740,male,49286
E14000741,female,74709
E14000741,male,71076
E14000742,female,52639
E14000742,male,51113
E14000743,female,49514
E14000743,male,48028
E14000744,female,58957
E14000744,male,56129
E14000745,female,56028
E14000745,male,51799
E14000746,female,39115
E14000746,male,37285
E14000747,female,56165
E14000747,male,53222
E14000748,female,46252
E14000748,male,44680
E14000749,female,53195
E14000749,male,50466
E14000750,female,66585
E14000750,male,60045
E14000751,female,58234
E14000751,male,54390
E14000752,female,64978
E14000752,male,59624
E14000753,female,60230
E14000753,male,57762
E14000754,female,46462
E14000754,male,43257
E14000755,female,52317
E14000755,male,49216
E14000756,female,48659
E14000756,male,47282
E14000757,female,61559
E14000757,male,60982
E14000758,female,47740
E14000758,male,46285
E14000759,female,58854
E14000759,male,56407
E14000760,female,73508
E14000760,male,73841
E14000761,female,57741
E14000761,male,57079
E14000762,female,72370
E14000762,male,68089
E14000763,female,57703
E14000763,male,52125
E14000764,female,55588
E14000764,male,51173
E14000765,female,43222
E14000765,male,40620
E14000766,female,50948
E14000766,male,48432
E14000767,female,46939
E14000767,male,45007
E14000768,female,56467
E14000768,male,50481
E14000769,female,53739
E14000769,male,52085
E14000770,female,64271
E14000770,male,59886
E14000771,female,46348
E14000771,male,44966
E14000772,female,50813
E14000772,male,50153
E14000773,female,44588
E14000773,male,45633
E14000774,female,46710
E14000774,male,44688
E14000775,female,58433
E14000775,male,52973
E14000776,female,45711
E14000776,male,44767
E14000777,female,77282
E14000777,male,74605
E14000778,female,54032
E14000778,male,50857
E14000779,female,49667
E14000779,male,46514
E14000780,female,44920
E14000780,male,42423
E14000781,female,49790
E14000781,male,49260
E14000782,female,64636
E14000782,male,62504
E14000783,female,64619
E14000783,male,63643
E14000784,female,57205
E14000784,male,55965
E14000785,female,55106
E14000785,male,54010
E14000786,female,47268
E14000786,male,43666
E14000787,female,57204
E14000787,male,51937
E14000788,female,59084
E14000788,male,52743
E14000789,female,66911
E14000789,male,60971
E14000790,female,54600
E14000790,male,53083
E14000791,female,50371
E14000791,male,48255
E14000792,female,59239
E14000792,male,58132
E14000793,female,63611
E14000793,male,61734
E14000794,female,47612
E14000794,male,45700
E14000795,female,46792
E14000795,male,45321
E14000796,female,49475
E14000796,male,45304
E14000797,female,53659
E14000797,male,55483
E14000798,female,51533
E14000798,male,49187
E14000799,female,43680
E14000799,male,41692
E14000800,female,55274
E14000800,male,53477
E14000801,female,60777
E14000801,male,62727
E14000802,female,49020
E14000802,male,46551
E14000803,female,54994
E14000803,male,52953
E14000804,female,56956
E14000804,male,56209
E14000805,female,50316
E14000805,male,49374
E14000806,female,48105
E14000806,male,46209
E14000807,female,77166
E14000807,male,79135
E14000808,female,60111
E14000808,male,60121
E14000809,female,51228
E14000809,male,49044
E14000810,female,56089
E14000810,male,54393
E14000811,female,50226
E14000811,male,47969
E14000812,female,59285
E14000812,male,55313
E14000813,female,62568
E14000813,male,60446
E14000814,female,43239
E14000814,male,40703
E14000815,female,43651
E14000815,male,40754
E14000816,female,56363
E14000816,male,55010
E14000817,female,59398
E14000817,male,56255
E14000818,female,54841
E14000818,male,52901
E14000819,female,48557
E14000819,male,48517
E14000820,female,49712
E14000820,male,46258
E14000821,female,70296
E14000821,male,69663
E14000822,female,75190
E14000822,male,71911
E14000823,female,58309
E14000823,male,55662
E14000824,female,49643
E14000824,male,47013
E14000825,female,46079
E14000825,male,43221
E14000826,female,53415
E14000826,male,51206
E14000827,female,46631
E14000827,male,44148
E14000828,female,44613
E14000828,male,40394
E14000829,female,52665
E14000829,male,51893
E14000830,female,57414
E14000830,male,56023
E14000831,female,51726
E14000831,male,52031
E14000832,female,49634
E14000832,male,49150
E14000833,female,50442
E14000833,male,47143
E14000834,female,45250
E14000834,male,43438
E14000835,female,48113
E14000835,male,45404
E14000836,female,60353
E14000836,male,57910
E14000837,female,47701
E14000837,male,45322
E14000838,female,50593
E14000838,male,48018
E14000839,female,50003
E14000839,male,48231
E14000840,female,44602
E14000840,male,42731
E14000841,female,63174
E14000841,male,60713
E14000842,female,61532
E14000842,male,59312
E14000843,female,47485
E14000843,male,45137
E14000844,female,54033
E14000844,male,51875
E14000845,female,52536
E14000845,male,50253
E14000846,female,50403
E14000846,male,47963
E14000847,female,45666
E14000847,male,43826
E14000848,female,43808
E14000848,male,41812
E14000849,female,55583
E14000849,male,54572
E14000850,female,53167
E14000850,male,49999
E14000851,female,61238
E14000851,male,59981
E14000852,female,51588
E14000852,male,47759
E14000853,female,55188
E14000853,male,52453
E14000854,female,47756
E14000854,male,45911
E14000855,female,72347
E14000855,male,70469
E14000856,female,48110
E14000856,male,45788
E14000857,female,58000
E14000857,male,56533
E14000858,female,53071
E14000858,male,51634
E14000859,female,51000
E14000859,male,47681
E14000860,female,50064
E14000860,male,49814
E14000861,female,47299
E14000861,male,45899
E14000862,female,53714
E14000862,male,53113
E14000863,female,46336
E14000863,male,45747
E14000864,female,54133
E14000864,male,51790
E14000865,female,53859
E14000865,male,53707
E14000866,female,52324
E14000866,male,47037
E14000867,female,58445
E14000867,male,58260
E14000868,female,50523
E14000868,male,48962
E14000869,female,46555
E14000869,male,43130
E14000870,female,55826
E14000870,male,52781
E14000871,female,56784
